Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
97319-14512,PF/SF,Marcus,Marcus Morris,Morris,11.711765064912683,17,4000,PHI@CHA,PHI,CHA,,,,,,SF/PF
97319-84691,PG,Shake,Shake Milton,Milton,11.595652704653533,23,4000,IND@MIN,MIN,IND,,,,,,PG
97319-16604,SG,Justin,Justin Holiday,Holiday,10.240000406901041,15,4000,OKC@DEN,DEN,OKC,,,,,,SG
97319-67312,C,Thomas,Thomas Bryant,Bryant,11.837499618530273,16,4000,CHI@MIA,MIA,CHI,,,,,,C
97319-111492,SF/SG,Amir,Amir Coffey,Coffey,4.366666793823242,12,4000,NY@LAC,LAC,NY,,,,,,SG/SF
97319-23156,PF,Georges,Georges Niang,Niang,14.64,25,3900,ATL@CLE,CLE,ATL,,,,,,PF
97319-157826,SG/SF,Quentin,Quentin Grimes,Grimes,11.55454531582919,22,3900,NY@LAC,NY,LAC,,,,,,SG/SF
97319-157831,PG,Tre,Tre Mann,Mann,9.800000190734863,8,3900,OKC@DEN,OKC,DEN,,,,,,PG
97319-58519,SG,Gary,Gary Payton,Payton,14.950000217982701,14,3900,BKN@GS,GS,BKN,O,Calf,,,,SG
97319-12474,PG,Patrick,Patrick Beverley,Beverley,13.449999491373697,24,3900,PHI@CHA,PHI,CHA,,,,,,PG
97319-84675,C,Mo,Mo Bamba,Bamba,9.023077157827524,13,3900,PHI@CHA,PHI,CHA,,,,,,C
97319-171795,PF,Ousmane,Ousmane Dieng,Dieng,7.714285714285714,14,3900,OKC@DEN,OKC,DEN,,,,,,PF
97319-145303,PG/SG,Skylar,Skylar Mays,Mays,17.866666666666667,15,3900,DAL@POR,POR,DAL,,,,,,PG/SG
97319-145322,C,Jalen,Jalen Smith,Smith,18.74285670689174,14,3900,IND@MIN,IND,MIN,O,Heel,,,,C
97319-145341,SF/SG,Isaac,Isaac Okoro,Okoro,15.931249618530273,16,3900,ATL@CLE,CLE,ATL,,,,,,SG/SF
97319-117286,C,Moses,Moses Brown,Brown,8.019999694824218,5,3800,DAL@POR,POR,DAL,,,,,,C
97319-110640,PF,Luka,Luka Samanic,Samanic,6.754545731977983,11,3800,UTA@SAC,UTA,SAC,O,Illness,,,,PF
97319-157825,C,Jericho,Jericho Sims,Sims,3.866666793823242,12,3800,NY@LAC,NY,LAC,,,,,,C
97319-157829,SG,Aaron,Aaron Wiggins,Wiggins,9.447618756975446,21,3800,OKC@DEN,OKC,DEN,,,,,,SG
97319-14501,C,Tristan,Tristan Thompson,Thompson,8.519999694824218,20,3800,ATL@CLE,CLE,ATL,,,,,,C
97319-81621,PF/C,Maxi,Maxi Kleber,Kleber,11.84000015258789,5,3800,DAL@POR,DAL,POR,O,Toe,,,,PF/C
97319-84696,PG,Jevon,Jevon Carter,Carter,9.63846177321214,26,3800,CHI@MIA,CHI,MIA,,,,,,PG
97319-12511,PG,Ish,Ish Smith,Smith,8.847058464499082,17,3800,PHI@CHA,CHA,PHI,,,,,,PG
97319-171758,PF/C,Jaylin,Jaylin Williams,Williams,11.355555216471354,18,3800,OKC@DEN,OKC,DEN,,,,,,PF/C
97319-9481,C/PF,Taj,Taj Gibson,Gibson,0,1,3800,NY@LAC,NY,LAC,,,,,,PF/C
97319-171785,SG,Bryce,Bryce McGowens,McGowens,8.994444105360243,18,3800,PHI@CHA,CHA,PHI,,,,,,SG
97319-16196,C/PF,Dwight,Dwight Powell,Powell,11.885714576357888,21,3800,DAL@POR,DAL,POR,,,,,,PF/C
97319-23447,C,Richaun,Richaun Holmes,Holmes,8.669230534480167,13,3800,DAL@POR,DAL,POR,,,,,,C
97319-188418,PF,Kobe,Kobe Brown,Brown,6.006666564941407,15,3700,NY@LAC,LAC,NY,,,,,,PF
97319-188424,PF,Olivier-Maxence,Olivier-Maxence Prosper,Prosper,5.5,14,3700,DAL@POR,DAL,POR,,,,,,PF
97319-9739,C,JaVale,JaVale McGee,McGee,10.585714431036086,21,3700,UTA@SAC,SAC,UTA,,,,,,C
97319-157805,SG,Brandon,Brandon Boston,Boston,9.695652173913043,23,3700,NY@LAC,LAC,NY,,,,,,SG
97319-157812,PG,Davion,Davion Mitchell,Mitchell,9.505882711971507,17,3700,UTA@SAC,SAC,UTA,,,,,,PG
97319-157840,PG,Jaden,Jaden Springer,Springer,10.092857360839844,14,3700,PHI@CHA,PHI,CHA,,,,,,PG
97319-14511,PF,Markieff,Markieff Morris,Morris,6.425000190734863,8,3700,DAL@POR,DAL,POR,,,,,,PF
97319-110331,PG,Ty,Ty Jerome,Jerome,4.349999904632568,2,3700,ATL@CLE,CLE,ATL,O,Ankle,,,,PG
97319-110351,SG/PG,Cody,Cody Martin,Martin,13.32857186453683,7,3700,PHI@CHA,CHA,PHI,O,Knee,,,,PG/SG
97319-171792,PF,Nikola,Nikola Jovic,Jovic,13.274999618530273,4,3700,CHI@MIA,MIA,CHI,,,,,,PF
97319-85305,SF,Kenrich,Kenrich Williams,Williams,11.623077392578125,13,3700,OKC@DEN,OKC,DEN,,,,,,SF
97319-111622,SF,Garrison,Garrison Mathews,Mathews,4.783333460489909,12,3600,ATL@CLE,ATL,CLE,,,,,,SF
